geneName,Pears_PGRMC1,pValue
GOLGB1,0.5646276377826137,2.7011684271582366e-08
UBR4,0.5936201563054346,3.326902065426057e-09
HUWE1,0.5191761240808783,4.936374099312792e-07
EIF3A,0.5477002319546728,8.383585231968403e-08
PRPF8,0.5246109190370377,3.5653668328577253e-07
BAT2L2,0.5066077270202606,1.0255122394215755e-06
TOP2B,0.5181220709535955,5.254481328193011e-07
IGF2R,0.5588100303586437,4.015090947482889e-08
ASCC3,0.5546318190573712,5.312634806234768e-08
SF3B1,0.5259560212497727,3.286624470939298e-07
SMG1,0.5657083121386904,2.5073116456973755e-08
ITPR3,0.6125420394381034,7.554239291105924e-10
RRBP1,0.5141554107112634,6.634088364210731e-07
BAZ1B,0.5904624459784229,4.221524790131414e-09
SMARCA4,0.5356480119566025,1.808993989350844e-07
CUL4B,0.5748580994836281,1.320270515886382e-08
EPS15L1,-0.5688778791709961,2.0122216135737476e-08
GLG1,0.6766223587184508,2.2024098066468243e-12
CANX,0.5429513670588978,1.1391978959848282e-07
TCOF1,0.514060844040286,6.670824503198675e-07
ATP2A2,0.7586493994642194,9.762413041721325e-17
ATP2A3,0.6061918666204599,1.2559733686245575e-09
ATP2A1,0.6984274715759723,2.133889914926484e-13
CKAP4,0.5525618041216896,6.094620628949004e-08
TOP1,0.584693779363949,6.480044782168213e-09
TOP1MT,0.5176130561504702,5.414951935297386e-07
EIF3C,0.5159757281358787,5.963149656175273e-07
EIF3CL,0.5061186413257612,1.0544896576170244e-06
MARK2,0.5190611926074352,4.970153508018359e-07
ATP1A1,0.6286116237328452,1.9813132531246755e-10
ATP1A2,0.6355838646087479,1.0819929093074005e-10
ATP1A4,0.6191817485719148,4.3855950587211327e-10
ATP4A,0.6211424041356568,3.72587875749718e-10
ESRP2,0.5132712432058056,6.985154725543393e-07
GOLGA5,0.5634678853413438,2.9250500427706604e-08
RPN1,0.6264240357956965,2.3880325878240403e-10
C10ORF118,0.5092958491555435,8.792079770565953e-07
SETX,0.5323017983367562,2.227835214079782e-07
ATP13A1,0.6871404951466674,7.326843257432339e-13
NFX1,0.5459891864554706,9.368044723093502e-08
NOP56,0.5135354527467985,6.878449753290681e-07
ACSL3,0.5260389906414715,3.2701249519812647e-07
ATP2B1,0.5451834506919535,9.868759989474739e-08
ATP2B2,0.5260133993569893,3.2752057192381094e-07
ATP2B3,0.5276660316864341,2.9619916055537885e-07
HBE1,-0.529449918988225,2.6558340677794507e-07
POR,0.601790932666635,1.7748711405839035e-09
ESYT2,0.5843847605644178,6.628959680213408e-09
SDCCAG1,0.5146861885568867,6.431421877670822e-07
CTAGE4,0.561362108686083,3.377425651892914e-08
CTAGE1,0.5602531389573651,3.6416754403331495e-08
CTAGE9,0.5802937454734766,8.935362608264797e-09
CNOT10,0.5377134238117255,1.5889873853611746e-07
MTDH,0.5362652626498159,1.7403885144499946e-07
TOR1AIP2,0.610658617056686,8.793990294832132e-10
ATL3,0.557038630515242,4.523339743354326e-08
ATL2,0.5726501586621069,1.544037436769271e-08
RPN2,0.6009143337708026,1.9002469141011437e-09
LEMD3,0.6153453945790304,6.013842199573171e-10
SEC63,0.5217382464384839,4.237402019881431e-07
DNAJB12,0.5224298316683493,4.0654427212467004e-07
NFXL1,0.6374555119579575,9.174105805280355e-11
PBXIP1,0.5851847714429838,6.2499823558280986e-09
CTCF,0.5073749139755919,9.815679521601018e-07
SLC25A31,0.5273861398853097,3.0129613467644034e-07
RPS4Y1,0.6108744233358647,8.642633835699084e-10
ABCC1,0.5650562409677867,2.6226353265395165e-08
COPS4,-0.5177427229945131,5.373639122550475e-07
TBL2,0.5868975823057375,5.506910628158668e-09
CWC22,0.5058102068993235,1.0731595014853917e-06
PAK4,0.5097168790275809,8.581623028630646e-07
STIM1,0.5514037081291713,6.578626999647112e-08
